> cat("bert_msr_bert_msr:",bert_msr_bert_msr)
roberta_neg_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 139.247674272869 )> cat("roberta_neg_udel_wsj:",roberta_neg_udel_wsj)
roberta_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 63416399219874.8 )> cat("roberta_wsj_bert_msr:",roberta_wsj_bert_msr)
roberta_wsj_bert_msr: Very Strong Evidence for effect (different distributions)  (BF = 281799.03628855 )> cat("roberta_wsj_bert_neg:",roberta_wsj_bert_neg)
roberta_wsj_bert_neg: No evidence for no effect (same distribution)  (BF = 2.32494865954301 )> cat("roberta_wsj_bert_wsj:",roberta_wsj_bert_wsj)
roberta_wsj_bert_wsj: Strong Evidence for no effect (same distribution)  (BF = 126.141522158713 )> cat("roberta_wsj_cnts_msr:",roberta_wsj_cnts_msr)
roberta_wsj_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 23221031964.3881 )> cat("roberta_wsj_cnts_neg:",roberta_wsj_cnts_neg)
roberta_wsj_cnts_neg: Positive Evidence for no effect (same distribution)  (BF = 6.2179833938404 )> cat("roberta_wsj_cnts_wsj:",roberta_wsj_cnts_wsj)
roberta_wsj_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.74694741019261e+30 )> cat("roberta_wsj_icsi_msr:",roberta_wsj_icsi_msr)
roberta_wsj_icsi_msr: Very Strong Evidence for effect (different distributions)  (BF = 1355032.24833222 )> cat("roberta_wsj_icsi_neg:",roberta_wsj_icsi_neg)
roberta_wsj_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 35.0207364214403 )> cat("roberta_wsj_icsi_wsj:",roberta_wsj_icsi_wsj)
roberta_wsj_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 2.29794402038681e+29 )> cat("roberta_wsj_isg_msr:",roberta_wsj_isg_msr)
roberta_wsj_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 19953385682342.7 )> cat("roberta_wsj_isg_neg:",roberta_wsj_isg_neg)
roberta_wsj_isg_neg: No evidence for no effect (same distribution)  (BF = 1.35669008451719 )> cat("roberta_wsj_isg_wsj:",roberta_wsj_isg_wsj)
roberta_wsj_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1145091452781386 )> cat("roberta_wsj_osu_msr:",roberta_wsj_osu_msr)
roberta_wsj_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 269080715697.184 )> cat("roberta_wsj_osu_neg:",roberta_wsj_osu_neg)
roberta_wsj_osu_neg: Positive Evidence for no effect (same distribution)  (BF = 11.0691967938107 )> cat("roberta_wsj_osu_wsj:",roberta_wsj_osu_wsj)
roberta_wsj_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 748648516524409 )> cat("roberta_wsj_roberta_msr:",roberta_wsj_roberta_msr)
roberta_wsj_roberta_msr: Very Strong Evidence for effect (different distributions)  (BF = 3603412.58167344 )> cat("roberta_wsj_roberta_neg:",roberta_wsj_roberta_neg)
roberta_wsj_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 57.0133587842131 )> cat("roberta_wsj_roberta_wsj:",roberta_wsj_roberta_wsj)
roberta_wsj_roberta_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 2416.02108165077 )> cat("roberta_wsj_udel_msr:",roberta_wsj_udel_msr)
roberta_wsj_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 48798505233166.7 )> cat("roberta_wsj_udel_neg:",roberta_wsj_udel_neg)
roberta_wsj_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 57.0133587842131 )> cat("roberta_wsj_udel_wsj:",roberta_wsj_udel_wsj)
roberta_wsj_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.82102273530956e+32 )> cat("udel_msr_bert_msr:",udel_msr_bert_msr)
udel_msr_bert_msr: Positive Evidence for no effect (same distribution)  (BF = 3.71941271339794 )> cat("udel_msr_bert_neg:",udel_msr_bert_neg)
udel_msr_bert_neg: Very Strong Evidence for effect (different distributions)  (BF = 1176.77262352307 )> cat("udel_msr_bert_wsj:",udel_msr_bert_wsj)
udel_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 10669702927.9853 )> cat("udel_msr_cnts_msr:",udel_msr_cnts_msr)
udel_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 42.355057399287 )> cat("udel_msr_cnts_neg:",udel_msr_cnts_neg)
udel_msr_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 8720.21965026868 )> cat("udel_msr_cnts_wsj:",udel_msr_cnts_wsj)
udel_msr_cnts_wsj: Strong Evidence for no effect (same distribution)  (BF = 24.8663199629666 )> cat("udel_msr_icsi_msr:",udel_msr_icsi_msr)
udel_msr_icsi_msr: Positive Evidence for no effect (same distribution)  (BF = 5.61105925385356 )> cat("udel_msr_icsi_neg:",udel_msr_icsi_neg)
udel_msr_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 712445.250739433 )> cat("udel_msr_icsi_wsj:",udel_msr_icsi_wsj)
udel_msr_icsi_wsj: Strong Evidence for no effect (same distribution)  (BF = 33.8022203893495 )> cat("udel_msr_isg_msr:",udel_msr_isg_msr)
udel_msr_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 95.4476019726828 )> cat("udel_msr_isg_neg:",udel_msr_isg_neg)
udel_msr_isg_neg: Very Strong Evidence for effect (different distributions)  (BF = 470.701972695335 )> cat("udel_msr_isg_wsj:",udel_msr_isg_wsj)
udel_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 30.9061795393994 )> cat("udel_msr_osu_msr:",udel_msr_osu_msr)
udel_msr_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 63.2250901795368 )> cat("udel_msr_osu_neg:",udel_msr_osu_neg)
udel_msr_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 34359.8462761613 )> cat("udel_msr_osu_wsj:",udel_msr_osu_wsj)
udel_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 28.9711254697787 )> cat("udel_msr_roberta_msr:",udel_msr_roberta_msr)
udel_msr_roberta_msr: Positive Evidence for no effect (same distribution)  (BF = 7.11681776915907 )> cat("udel_msr_roberta_neg:",udel_msr_roberta_neg)
udel_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 2680967.45989555 )> cat("udel_msr_roberta_wsj:",udel_msr_roberta_wsj)
udel_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 48798505233166.7 )> cat("udel_msr_udel_msr:",udel_msr_udel_msr)
udel_msr_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 96.5853816547025 )> cat("udel_msr_udel_neg:",udel_msr_udel_neg)
udel_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 2680967.45989555 )> cat("udel_msr_udel_wsj:",udel_msr_udel_wsj)
udel_msr_udel_wsj: Positive Evidence for no effect (same distribution)  (BF = 15.3498298996239 )> cat("udel_neg_bert_msr:",udel_neg_bert_msr)
udel_neg_bert_msr: Strong Evidence for effect (different distributions)  (BF = 74.6560497829114 )> cat("udel_neg_bert_neg:",udel_neg_bert_neg)
udel_neg_bert_neg: Positive Evidence for no effect (same distribution)  (BF = 16.1741002317321 )> cat("udel_neg_bert_wsj:",udel_neg_bert_wsj)
udel_neg_bert_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 291.797323215553 )> cat("udel_neg_cnts_msr:",udel_neg_cnts_msr)
udel_neg_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 36167.2263922246 )> cat("udel_neg_cnts_neg:",udel_neg_cnts_neg)
udel_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 34.1257159155011 )> cat("udel_neg_cnts_wsj:",udel_neg_cnts_wsj)
udel_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 6774827424215.67 )> cat("udel_neg_icsi_msr:",udel_neg_icsi_msr)
udel_neg_icsi_msr: Very Strong Evidence for effect (different distributions)  (BF = 172.707070360535 )> cat("udel_neg_icsi_neg:",udel_neg_icsi_neg)
udel_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 123.750238206965 )> cat("udel_neg_icsi_wsj:",udel_neg_icsi_wsj)
udel_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1742531084287.18 )> cat("udel_neg_isg_msr:",udel_neg_isg_msr)
udel_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 1614728.46674702 )> cat("udel_neg_isg_neg:",udel_neg_isg_neg)
udel_neg_isg_neg: Positive Evidence for no effect (same distribution)  (BF = 11.1745372323175 )> cat("udel_neg_isg_wsj:",udel_neg_isg_wsj)
udel_neg_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 286093.427667671 )> cat("udel_neg_osu_msr:",udel_neg_osu_msr)
udel_neg_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 142408.250819695 )> cat("udel_neg_osu_neg:",udel_neg_osu_neg)
udel_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 54.8234721218584 )> cat("udel_neg_osu_wsj:",udel_neg_osu_wsj)
udel_neg_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 234178.167081001 )> cat("udel_neg_roberta_msr:",udel_neg_roberta_msr)
udel_neg_roberta_msr: Very Strong Evidence for effect (different distributions)  (BF = 292.282424605006 )> cat("udel_neg_roberta_neg:",udel_neg_roberta_neg)
udel_neg_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 139.247674272869 )> cat("udel_neg_roberta_wsj:",udel_neg_roberta_wsj)
udel_neg_roberta_wsj: Strong Evidence for no effect (same distribution)  (BF = 57.0133587842131 )> cat("udel_neg_udel_msr:",udel_neg_udel_msr)
udel_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 2680967.45989555 )> cat("udel_neg_udel_neg:",udel_neg_udel_neg)
udel_neg_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 139.247674272869 )> cat("udel_neg_udel_wsj:",udel_neg_udel_wsj)
udel_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 63416399219874.8 )> cat("udel_wsj_bert_msr:",udel_wsj_bert_msr)
udel_wsj_bert_msr: Strong Evidence for effect (different distributions)  (BF = 23.0508548545394 )> cat("udel_wsj_bert_neg:",udel_wsj_bert_neg)
udel_wsj_bert_neg: Very Strong Evidence for effect (different distributions)  (BF = 142427197.97802 )> cat("udel_wsj_bert_wsj:",udel_wsj_bert_wsj)
udel_wsj_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.19594955223058e+25 )> cat("udel_wsj_cnts_msr:",udel_wsj_cnts_msr)
udel_wsj_cnts_msr: No evidence for no effect (same distribution)  (BF = 2.97916338394849 )> cat("udel_wsj_cnts_neg:",udel_wsj_cnts_neg)
udel_wsj_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 4563116747.35201 )> cat("udel_wsj_cnts_wsj:",udel_wsj_cnts_wsj)
udel_wsj_cnts_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 343.752463218428 )> cat("udel_wsj_icsi_msr:",udel_wsj_icsi_msr)
udel_wsj_icsi_msr: Positive Evidence for effect (different distributions)  (BF = 10.0390107371699 )> cat("udel_wsj_icsi_neg:",udel_wsj_icsi_neg)
udel_wsj_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 7260783688453.01 )> cat("udel_wsj_icsi_wsj:",udel_wsj_icsi_wsj)
udel_wsj_icsi_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 227.038078179476 )> cat("udel_wsj_isg_msr:",udel_wsj_isg_msr)
udel_wsj_isg_msr: Positive Evidence for no effect (same distribution)  (BF = 12.9089875433018 )> cat("udel_wsj_isg_neg:",udel_wsj_isg_neg)
udel_wsj_isg_neg: Very Strong Evidence for effect (different distributions)  (BF = 28254486.7177346 )> cat("udel_wsj_isg_wsj:",udel_wsj_isg_wsj)
udel_wsj_isg_wsj: No evidence for effect (different distributions)  (BF = 1.28227848199428 )> cat("udel_wsj_osu_msr:",udel_wsj_osu_msr)
udel_wsj_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 5.29458465268468 )> cat("udel_wsj_osu_neg:",udel_wsj_osu_neg)
udel_wsj_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 46817302592.9885 )> cat("udel_wsj_osu_wsj:",udel_wsj_osu_wsj)
udel_wsj_osu_wsj: No evidence for effect (different distributions)  (BF = 1.43638921182654 )> cat("udel_wsj_roberta_msr:",udel_wsj_roberta_msr)
udel_wsj_roberta_msr: Positive Evidence for effect (different distributions)  (BF = 6.31035323888223 )> cat("udel_wsj_roberta_neg:",udel_wsj_roberta_neg)
udel_wsj_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 63416399219874.8 )> cat("udel_wsj_roberta_wsj:",udel_wsj_roberta_wsj)
udel_wsj_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3.82102273530956e+32 )> cat("udel_wsj_udel_msr:",udel_wsj_udel_msr)
udel_wsj_udel_msr: Positive Evidence for no effect (same distribution)  (BF = 15.3498298996239 )> cat("udel_wsj_udel_neg:",udel_wsj_udel_neg)
udel_wsj_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 63416399219874.8 )> cat("udel_wsj_udel_wsj:",udel_wsj_udel_wsj)
udel_wsj_udel_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 481.345280414871 )
